category,item,symbol,source_ids,exact_locator_or_fields,meaning_or_transformation,evidence_status,scope_limit
"notation","permit object","P_t","M1,M2,E1,E2","M1 DecisionPermit:637-658; M2 adjudicate:161-194; E1 requests.permit_json; E2 permit_registry.document","One returned registered DecisionPermit; field route is final route and reservation_id identifies its action unit.","implemented object","Not the scalar permits count; an issued non-action is also a permit. Cancelled requests remain terminal."
"notation","proposal/evidence/policy/ledger","Q_t,E_t,pi,B_t","M1,M2,L1","M1 ProposalEnvelope:453; EvidenceEnvelope:588; PolicyManifest:218; M2 adjudicate:33","Q=proposal; E=evidence.items; pi=manifest; B=ledger state. B_{t+1} denotes persisted state after adjudication, not a second Python return value.","mathematical presentation of implementation","The Python adjudicate method returns DecisionPermit only; this notation does not imply one original outer issuance transaction."
"notation","score/ambiguity/settings","p_t,u_t,tau,delta,gamma","M1,A1","ProposalEnvelope.score/uncertainty; PolicyManifest.score_threshold/review_band_width/uncertainty_threshold; A1 compute_uncertainty:13","Replay fields score, uncertainty_score, prompt_threshold, review_band_width, uncertainty_threshold. u=1-|2p-1| for probability_margin.","implemented fields","u is a probability-margin proxy, not estimated epistemic uncertainty."
"notation","candidate/final route","bar r_t,r_t","M2,A1,A2","M2 adjudicate:58-107; A1 route_frame:22-121; primary_route; DecisionPermit.route","bar r is the pre-cap candidate abstraction; r is final permit route. Replay human_review maps to permit/service review.","implemented routing plus conceptual candidate symbol","Neither bar r_t nor r_t is an archived column with that literal name."
"notation","reservation","z_t","M1,L1,R2","DecisionPermit.reservation_id/reserved_resource; reservations.reservation_id; ordinary holds.id/document","Identifier of the reservation bound to an action permit; absent for final non-action.","implemented fields","The sink operation key is permit_id, not reservations.idempotency_key."
"notation","admitted evidence set","mathcal A_t","M1,M2","M2 _gate_evidence:220-263; M1 DecisionPermit.admitted_evidence_ids","IDs of evidence.items satisfying policy type/source/schema/observed_at/available_at/max_age_seconds checks relative to proposal.proposed_at.","implemented set projection","Metadata qualification; not an attestation of predictor-input truth or full computational provenance."
"notation","used evidence set","mathcal U_t","M1,M2","M2 _gate_evidence:253-255; EvidenceItem.requested_for_use; EvidenceRule.use_allowed; DecisionPermit.used_evidence_ids","Admitted items also requested_for_use with policy use_allowed; returned used_types informs finite claim support.","implemented set projection","Caller request flags cannot override admission; used subset is not all model inputs."
"notation","budget key/limit","k,L_k","M1,M2,L1,R2","M2 _scope_key:266; capacity_state.(policy_id,policy_revision,scope_key,resource,capacity_limit); budgets.(policy_id,policy_revision,scope_key,resource,ceiling)","One fixed policy/revision/scope/resource key and its cumulative ceiling.","implemented key","Do not pool revisions or resources under one L_k; committed units are not recyclable slots."
"notation","held units","S_k","L1,R2,E3","capacity_state.reserved; reservations.amount WHERE status='reserved'; budgets.held; holds.status/document","Per-key held amount, reconstructed by summing reservation amount for that key/status. One unit per action in evaluated contract.","implemented per-key count","outcomes.reserved and audit reserved aggregate all keys, not generally a single S_k."
"notation","committed units","C_k","L1,R2,E3","capacity_state.committed; reservations.amount WHERE status='committed'; budgets.spent; holds.status/document","Per-key committed amount, reconstructed from corresponding reservations.","implemented per-key count","outcomes.committed aggregates all keys; committed expenditure remains counted."
